item_title,item_price,item_category,item_rating
Nintendo Game Boy Advance SP Console - Cobalt Blue,750.00,New,4.7
Nintendo Switch Neon Red and Neon Blue Joy-Con Console,325.00,New,4.7
SNK NEOGEO Arcade Stick Pro Console - White,324.40,New,4.3
Hyperkin Retron 77 HD Gaming Console for Atari 2600 Retro Amber Not 7e,73.14,New,5.0
Konami CoreGrafx Mini PC EngineConsole - Black,198.50,New,5.0
CYBER Gadget Retro Freak Controller Adapter Set,235.27,New,4.7
SEGA Mega Drive Tower Mini ZERO,45.55,New,0.0
Hyperkin RetroN 1 AV Gaming Console for NES Hyper Beach - NES,26.99,New,3.0
Nintendo Super Famicom SHVC-001 Retro Console,410.99,New,5.0
Nintendo Switch HAC-001(-01) Mario Kart 8 Deluxe Bundle 32GB - Gray,349.95,New,4.7
Sony PSP 1000 Core Pack Black Handheld System (PSP98502),950.00,New,4.4
Hyperkin M02888-GR RetroN 2 Gray Video Gaming Console,78.51,New,4.5
Retro-Bit Sega Genesis HDMI Home Console Set With 2 Controllers - White And Red,89.99,New,4.7
Nintendo 3ds LL Console Love Plus Nene Deluxe Complete Set At0912,295.99,New,0.0
Xbox Series S Gilded Hunter Bundle (FALL GUY DLC ONLY),299.99,New,0.0
Nintendo 3DS LL Console - Black,296.95,New,5.0
Sony PlayStation 2 Slim Limited Edition Ceramic White Console,1195.95,New,4.9
Sony PS Vita PCH-2000ZA22 1GB Handheld Console - Glacier White,264.80,New,4.9
